2022-05-19 13:05:841 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:284 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:322 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:419 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:979 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:187 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 14:05:243 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 14:05:292 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 14:05:352 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 14:05:416 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //button[@id='checkout']]
2022-05-19 14:05:537 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //input[@id='first-name']]
2022-05-19 14:05:623 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //input[@id='last-name']]
2022-05-19 14:05:723 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //input[@id='postal-code']]
2022-05-19 14:05:793 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //input[@id='continue']]
2022-05-19 14:05:855 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (ef9b3a1b34da151ddc64fb6aa4e703f5)] -> xpath: //button[@id='finish']]
